,text,lang,is_valid
19552,her presenting career started at the bbc in plymouth,1,0
14793, adutha 100 cr ennurapullavar adik mone like,4,0
20747, thala & yuvan sendhaale massdaaaa...,3,0
7138,bechaara haath kaat ke baitha hua hai aur aap tang tudava ke,2,0
12361, indha trailer ku epd da manasaatchiye illama dislike potrukeenga,3,0
22355, lalettan itra look il ee aduthengum kanditilla,4,0
14987, eppo enna panaporo ..sweet sapda poro,3,0
12241,maee yahaan par kuchh bhee prove nahin karane vaala,2,0
866, viswasam trailer pathutu vanthavanga like podunga!!...,3,0
9173,facebook par ek fake identity document hai meree,2,0
13414, kids : like sivakarthikeyan legends : like action king arjun  ..,3,0
18247,tum engineering vaale khaamakhaan dimaag,2,0
6008,chal bhaee too bhee dhoondh le,2,0
3020, sam cs elevates 2 next level,3,0
8360,historian david kahn describes him as the great pragmatist of cryptology,1,0
7182,mere ghar ke jast bahaar hee nai,2,0
357,nahin jee hum to bas jile ke supplier hai,2,0
4791, yella vijay padatha seathu oru vijay seadhupathy padam adha direct pannunadhu vijay chandar,3,0
7708,a monotonically decreasing sequence is defined similarly,1,0
3130,beverly hills sage publications 1979 ,1,0
5148,one nations vote in the house of representatives collapsed,1,0
10660,par unakee to aisa hai,2,0
4805, rajini sir vera vera level...,3,0
12512, ravanan aya avane nerkuner illaathakkan oru maha avatharam thanne vendi varum....poli,4,0
20895, 0:44 intha bgm kekum bothalam pullarikithu,3,0
17837,spanned sent provides,1,0
17994,akelee hu yaar rajaee m,2,0
9615, 9 min...54 k like.....madhura rajaa daaa,4,0
15088, ente laletta powli. romanjam...... umma..... love you laletta. raju etta ningalu powliyanu,4,0
13643,ithore nalla padam aaakatte enne praaarthikkunnu poli trailer,4,0
9661,mil gaya too bhaee,2,0
2315, thirakku kettan sunny chechiyokkeee venam lee.,4,0
8977, aju chettan polikkum nna thonnane,4,0
10019, rajni want a hit movie like batcha....,3,0
7270,you bhee bhaee,2,0
15714,there are several definitions of political system,1,0
5548,bolane mein kya jara,2,0
1412,shaam paanch baje milana kaalee padhee ke peechhe,2,0
22101,eee trailer oru cinema kanunapole irunn  kanan pattiya oru item ann  christianigalk idayil ivan oru pere ullu.. #lucifer,4,0
10382,for information on the word itself see hoosier,1,0
18865, kallay thuramukathey ghureshimarod chodichariyanamyrunu chadrothey churika chooru mammmoooka ningal mwuthaan,4,0
2363, tamil film pizza de oru style,4,0
2625, njan 5 vattam kadhu super padam mammookkaki ummaaaaaa,4,0
9513,kyukee draamebaaz to bachapan se hee h,2,0
18059,super star is superb......rajni sir you are great....,3,0
12396, from thalapathy rasigan...thalaivar massss da deiii... suburaj superma,3,0
17814," semma marana masss trailer, goosebumps guaranteed",3,0
21503,are please reply if anyone is there,2,0
14770,mainne nahin bola mein khush hu,2,0
742,1.5m likes varumna like pannuga,3,0
5545, thalaivaa  thaivame  pinnittinga  thalaivaa  unkalukku  kodi  muuhthangal  thalaivaa,3,0
18228, graphics sari illa nu solrathukune oru gang suthum parunga,3,0
19530,the library is a public tri county library serving franklin hopkins and wood counties,1,0
6813,katta ikka fans adi makkale like,4,0
19028,and even the more moderate chiropractors have ideas above their station,1,0
20587, thalaivaa sema i love you thalaiva,3,0
1453,koee baat nahin galatee hotee,2,0
16585,why does lactic acid build up in muscles,1,0
19408,here the winner of the game is the player who removes most parts successfully,1,0
16534,i will send you request if possible,2,0
18392, why like kuduthuttu thirumbi vanthu paatha like pottathe kaamikkala,3,0
9454,the current regimental commander is cmaj luis martinez,1,0
22104,itana bura naam nahin hai yaar,2,0
2918, kadaisila sonna oru vaarthaiku ajith pera vechu sildrathanam pandra ella naaikum serupadi maari iruku,3,0
8917,nasik doll tiltle bgm aane highlight,4,0
2582, paadam paathu tu aparom thurupi trailer paakaravaga laa yaaru,3,0
13204, mamangathinte charithram ariyendavark e linkil keri nokkam.,4,0
14395, itupolulla avasarathi ee video ivde idunnate thettano ennariyilla,4,0
8055, thaaru maaru vera lvl dhanush anna acting,3,0
1821, 1:07 iyalde kaalu vetiyathalle 1st partlu ....,4,0
11076,the case was dismissed by the us district court,1,0
5036,master of technology from national institutes of technology jamshedpur,2,0
18061, mass katradhuna epdi venalum katalam da.....,3,0
9698,tab tak whats application chat kaana n maze lena,2,0
9039,where are you from,2,0
20192,us23 on wonderful deliberate,1,0
8740,budiansky married angela goodman in late 1991early 1992bullpen,1,0
3085,kumbalangi nights kazhinj oru vivaravum illayrnappo vishamam thonni ..ippo ashwasamayi baby molee,4,0
17565,prabhupada had stressed that the path of spontaneous devotion was only for liberated souls,1,0
2815,egilbert was penalised dearly by the emperor,1,0
4970,main bhee to kamee ni ha ladakiyon kee,2,0
17164,the wingate team was also national champs in 1920 ,1,0
17090, ethilum valiya masss eni ella  padam 100 crore loading,4,0
14402,hijara hu ab samajha,2,0
6699, thalaivaaa . . .. . . marana paa... .. . .,3,0
4360, 35 minutes...watched 5 more times...stephen nedumpalliyude kalikalkku waiting...,4,0
14049,the population of texas grew rapidly,1,0
21251, nov 21 maranamass pwolii  fdfs locked,4,0
1902, trailer releasinu munne 6k dislike itta ella punnara malarukalkum nadu viral namaskaram.... chettakale,4,0
19202,they would be considered asexual reproduction however,1,0
3199,advent christians such as george storrs and jonas wendell influenced the bible student movement,1,0
22089,liscomb is a city in marshall county iowa iowa united states,1,0
21348, guys... porathum poringa... appadiye intha trailer ku dislike  pottutu ponaga..!!,3,0
11261, inghakk prayam 68ann ??? prayam verum akangall enn thelikunna nadana vismayam,4,0
8973, film kandu.....nalla movie aan dharyam ayi book cheythoolu🤗,4,0
10642,it will not show you,2,0
14728, ayyoooo sema da sankar sir ranjini waiting for movie,3,0
9948, daily 10 times ku intha trailer pakuran.,3,0
4246,intuitive play by white can lead black into dangerous traps,1,0
785,yeats won a medal at the 1924 tailteann games in paintingmike,1,0
8735,you do not have friends there,2,0
11910,en agam mahizhum en aatharshana naayaganeaaa,3,0
17783, dai enna da enna  thala ipdi masss ah kattiringa  avaavavavavavavvavavavava,3,0
21250,are kya bataoon bolana padata hai,2,0
21087,pyskowice   is a town in silesia in southern poland near katowice,1,0
4971, karthi annan massu. all the best kaithi.,3,0
18342,agar koee topik nai hai to kya baat karoo,2,0
22486,pyaar shuroo shuroo mein tha i think but after fivesix months vo pahale jaisa nahin raha,2,0
11580,too sach mein ladakee hona there are many boys jo ladakee ka naam bataakar phir gaalee bakate hain,2,0
9624,that your fault you know tum bohat slow ho,2,0
367,boy hee aa baee,2,0
22253,ekkakkum akkakkum mohanlal fansinte full support undakum,4,0
4574,itana jyaada gussa bhee achchha nahin h,2,0
18677,padh ke kya phaayada,2,0
21803, wow.... thalaivar semma smart.... palaya rajinikanth... semma,3,0
3727,he example apaches,1,0
307,maee abhee first year,2,0
22326,a dule tree exists at leith hall,1,0
17664,bhaee kuchh nahin hone vaala chhod,2,0
758, hey vidya bhalan engaya trailer full ah kanam,3,0
18802,the arrangements are by artie butler,1,0
10863,new york daily news knight riddertribune news service,1,0
16572,since 1996 audi in the faw volkswagen joint venture,1,0
5192, pirates of carbien aarum kanditilananu mone ninte vicharam,4,0
15468,matalab mera size bata rahee hu figure,2,0
9962,rooney grew up with the film series,1,0
10591, poli trailer dislike motham mohanlal fans ayirikkum,4,0
348,lagata to nahin bhaee,2,0
3346,they are in a minority in congress,1,0
374, youtube nde kaat poyirikkugayaan.. 1 manikkoor aayi ithuvare youtube nde hang maariyittilla..🤣🤣,4,0
12158,bas vahee desee khaana,2,0
8992,vaada paanv bechata h kya,2,0
19405,this stage is approximately 225nbspkm in length,1,0
10291, vip kazhinju aduthathu.. enni oru awardum,3,0
6620, 1st day 1st show poravanga like potuttu ponga,3,0
2697, viswasam trailer needs just 20k likes to reach 1.4m likes milestone,3,0
6792, vikram sir nadippuku vayasu agave agathu.. hats off u..,3,0
16617, pppaaaa  enna dialogue delivery ...68 vayasada idhu. ....,3,0
10779, akshay kumar 1st dialog olunga kekala... ennadu paah adu ??? cell phone vechu irruka ovovruthanu....????,3,0
17736, yuvan bgm vera level ...paaa grt composer,3,0
16691,lekin isase achchha to pick up line sochate yaar,2,0
13708, raja raja raja...madhura veera raja,4,0
16116,many frequent buzztime players are enrolled in the players plus program,1,0
16080, natural venam polum side lottu maarinikke anganullavar korach mass okke nallaatha,4,0
3453,the city of mountain city is served by the hays consolidated independent school district,1,0
19503,summer stars production he directed,1,0
3618, aadukalam vibes.. asuran nationalaward material.. thalivaa..,3,0
11032, unlike panradhukkune wait pannittu irundhurukkanunga 13k padunga,3,0
19598, intha movie la yaru hero ???,3,0
7489, adeii  ellai meeri poringa da...,3,0
18220,apan to abhee paida hue hai,2,0
11719,the lady eagles volleyball team also competes at the intercollegiate level,1,0
19109, new type of rajini but our fav old rajini returns.....vaaa thalaivaaaaa........semma maranamass .....,3,0
4527,the town of carrolton was formed in 1842 from the great valley new york,1,0
22266,other sites of interest in the province,1,0
4655, nirav shah ....  love u ma dear.....,3,0
17866,fukagawa   ishikari numata   rumoi   mashike,1,0
5957, unga cell phone ne vittilae vechittu 2.0 padam pakka ponge,3,0
17914, oru 500k likes um 10 m views ekke akku!!! common everybody !!!show our power!!,4,0
1239, kandipa movie flape nu thariuthu confirm movie flap nu nanikuravanga like,3,0
2400, ithoke dislike adikkunnathu aah theettavayarante fans aayirikum.,4,0
5975, enga viswasathukku munna ithu email ellam onnume kidayathu,3,0
13833, happy birthday ikka   happy birthday ikka happy birthday ikka,4,0
3982,this feature is helpful when playing harmonics,1,0
593,erdington is a relatively ethnically diverse area,1,0
20859, best actor poloru movie expect cheyunnu,4,0
965,screenshot of allthewebcom taken on 23 april 2004,1,0
3319,name to bata do,2,0
17271, ippidi nariya nariya nariya superb dialogue,3,0
5516, ee trailer kanditt urakkam vannavar ivide like cheyyuka,4,0
3030, comedy ya irukku....  game of trone....  paarunga da,3,0
21374, rajetta ithreyum pratheekshchillaa.... kidu feel... romaanjam. ithu pwolikkum,4,0
18518, poojapura mohanan fans moonchi. ഇക്ക പൊളി,4,0
20953,in the proem parmenides describes his journey from darkness to light,1,0
1477, review pathutu varavan lan inka like ah podu,3,0
21794, outright disaster much like sketch and vaalu,3,0
14762," see after viswasam trailer anyone like..,.....,..",3,0
20171,so neha where are you from,2,0
22173, dislike adichavarkk enthe naduviral namskaram,4,0
5249,in one study in panama white headed capuchins ate 95 different fruit species,1,0
19198,vah toh pata tha,2,0
19657,i am a mechanical engineer,2,0
1294,bollywood film newton inte remake aano?,4,0
4873,each court deals with a different aspect of atonement,1,0
8996, 5 million aya ennu nokkan vannvarundo,4,0
21777,film and royal the,1,0
6085, 17k view 100k like 10k dislike.....ithengane......🤣,4,0
15220, super star   super film,3,0
7125,wikipedia talkselected anniversariesmarch 30   edit,1,0
13077, mamukayude bramanda thandavam njan kande.... adipoli,4,0
16280,mera phir paanch chhe inch hoga,2,0
10625, 10il kooduthal thavanna trailer kandavar like adi,4,0
2153, nge...like kuranjo???..autolikes 3g.. anyway trailer heavy,4,0
8597, vivek obreoi sound nalla paraichaya arudey sounda aryo arkengilum,4,0
7031, indha padamavadhu vikram ku odanumnu nenaichen...trailer paatha udane andha aasaiyum pochu....che,3,0
276,oh yahaan ladakee dhoondh rahe shaadee ke lie,2,0
2747,mainne totally six logo ko reject karaliya after defamed delhi rape case,2,0
5638, national award kedikum nu nenikirivinga like podunga,3,0
19399,i was quite simply exhausted,1,0
19670,juan manuel fangio was world champion in 1954 and 1955,1,0
3314,instead there are two tiers or levels of government city and county,1,0
21797,hu tum naee jaanate,2,0
14297,the two forces meet on the field of hachiman,1,0
15158, eth 14k alavalathikal aanu dislike adichath,4,0
11482, jayettanu eduthal pongayha role aan...next idi,4,0
22726,mammukka fans like adi mammukka uff vere level,4,0
9172,this is the result of the evaluation,1,0
7449, epo trailer pathuttu erukinge like podunge,3,0
9798,yes ye jo bhee hai isake through baat huee thee facebook pe unknowingly,2,0
20439, 314k  likes. vs 314k subscribe mass asuran trailer,3,0
20403,meree ban jao jaanu,2,0
15127,yeah did in school and college,2,0
8253,following the win michael asked delich to be his manager,1,0
2265, jeevathod chernn nilkunna padangal aanu lalettanum mammokkayum cheyyendath... waiting lalattan fans,4,0
3067,espn top 10 plays of all time,1,0
8595,the message in marathi is namaskar,1,0
15110,lucifer nne polle...... raja 2 vum vijayikkktte......,4,0
14777,academy killed county the,1,0
21079,thala thala thala thala thala maasss hero semma.. yeppoda screen la varuvaarnu marana waitingla irunthen,3,0
7887,from the latin on,1,0
2941,you kena tunggu lebih lama lagi untuk tahu saya ...chiyaan vikram speak malay  ...any malaysian here??,3,0
5901,aisa kya ho gaya,2,0
7916,gumanaam kaise ho sakata hoon,2,0
2507, 68 vayassunden oke paranj ingane pattikkale en parayanam sire....,4,0
5845,tamil nadu naasama povathu uruthi.... thuuu,3,0
6343,the celebration consists of four major events,1,0
399,retrieved at the internet archive 16 february 2008,1,0
3902,onnum than e parayanilla bgm kalakki,4,0
9588,testifying opened that clemente,1,0
10233,alan was elected that november in a very competitive contest,1,0
21975,mammooty fans എന്റെ ചാനൽ sandarschikkuka,4,0
8892,minakata was not an exception,1,0
14920,actually you are male or female tell,2,0
17740, late ah vandhalum latest tah vanthuruchu,3,0
2688,bz recently underwent a major restoration,1,0
11270, nekonda paravai :- no one did a storyline like this  chintamani kolacase :- hold my beer,3,0
22541, thala ya screen la pakka marana waiting,3,0
18980,his station head returned,1,0
20575, oh iyalude ela padavum iyalu jailil kidana anubavavumayi copy anu nala pila anu enu kqnikan akum.,4,0
1839, oru rakshayum illa trailer pwolichi  padam maximum theatril thanne poi kanaan nokkum mohanlal fan,4,0
21730,yes i will inform uh,2,0
18012,semma na thalapathi fan sathiyama solran vera level la irruku,3,0
2554,   on average the warmest month is august,1,0
1900,were you from brother,2,0
20380,well known examples include the winchester model 1897 remington 870 and mossberg 500590,1,0
18409,today the campus stretches across  of land,1,0
17985,promising to be back in six months to marry him diane left boston,1,0
22751, mothathula viswasathuku bulb kudukkurathukagave yedutha mathiri iruku,3,0
16725,clark gable is said to have proposed to carole lombard here,1,0
19265,timepass ke lie theek haan,2,0
7383, trailer romba mosamaayirik  konjamkoodi maassillay and me dislike,3,0
1948,vo to sabako pasand h,2,0
10134,poora naam kya h tumhaara,2,0
16005,help toh friends bhee kar dete hai bure vakt mein toh dost mein aur isamen kya phark rah gaya,2,0
6753,mein kaise man loo ke aap ban sakate ho best friend,2,0
581,theek hai chalo batao tumhaara naam,2,0
2177,quadrant sports in during,1,0
18684, 53 55 sec repeat aduchu kandavar evde like,4,0
15667,aiyee.. trailer satyam paranjal valya rasamonun illa and i'm a lal fan,4,0
16792, dialog  bora ettan .saatha dilogu matre pattu .dileep .mammoka  dilogu suppera,4,0
4440,ulta khud ka loose hain,2,0
20770,diminished fifth fahv se g,1,0
5830, sotta pathiyin anil kunjugal romba paaaaaaaaaaaavam,3,0
11522,yaar ek to english bolane m feelings kee maan bahan ho jaatee h,2,0
15124,achhi nahin lagee kya poochh rahee thee bas,2,0
11396,the west pagoda was rebuilt in 1998,1,0
11625,bbc recently reported on primark using child labor in the manufacture of clothing,1,0
3356,ek to thand lag rahee hai train mein,2,0
4916,boring lagata hi yaar vo,2,0
4795, ഇവിടെ telug padangal vevoola mr twolinjo..,4,0
20926, i love you etta etta fans like addi umma umma,4,0
608, g. v. prakash sir theme..,3,0
22141,kahaan se maarane mein jyaada maja aatee hai tumhe,2,0
11766, ye kya raita bana diya bhai..  isse achha animation movie bana dete,3,0
11484,nai maaloom nai hoi raha,2,0
15957, ithann njangal kaathirunna vintage ettan  love you etta,4,0
15083, comments vayichu romanjification kollunnavar ivde like....,4,0
18774,katta ikka fan aahnu...but kidukachi trailer...fdfs kandirikum,4,0
11102,mein toh darr gaya,2,0
19456, thalaivaaaaaaaaaaa........ semma mass.... pongal ku theatre summa aththirrrrum,3,0
9484,there found prosecuted states,1,0
22021,apan jis par try kar rahe the vo miss fresher ban gayee aur phir to usaka bhaav aur badh gaya,2,0
5226, yaaro oru group ..padam flop dhan konja naalu ku .munadi ..koovitu irundhanga ..avanga laam konjam line la vanga,3,0
18754,self made hero shakespeare  manga newsarama november 1 2007,1,0
22135, dei jeeva mugham moodi and krish copy panni vechittu....hero....poolu name vereaa.....thuuu,3,0
7094, ethonnum mohanlalnu cherilla,4,0
8220, en periyaappaa than thalaivar....antha alavuku  en thalaivara enku pudikum..... love u thalaivaaaa...umaaaaaa,3,0
11800, naale release aakane patto veyya wait cheyyan,4,0
20662,form the florida breeze,1,0
8758,maureen jane teefy was born and raised in minneapolis minnesota,1,0
1619,meree dogi ke saath lagee hai,2,0
2225, ethippoo കൂതറയിലെ   mohanlalinte make over aayinda...,4,0
45, hindukkalkku mahiravanan islamil avane ibilis ennu vilikkum.christianinkalkkidayil avanu oru nereyulla.lucifer!!!,4,0
6313,koee girl friend thee pahale,2,0
7546, apol ithu payyanmare padam aano rajuettan ikka onnum main ayittu ille ??,4,0
4903,likes therikanum 2m likes on the way,3,0
11495,enna alagu thalaiver mass super  star rajini,3,0
19338,and koee tablet le lena miss gumanaam,2,0
4627,number dena padega yaar,2,0
2468,ഇത് pirats ഓഫ് caribian annu bri,4,0
6916,143k views and 145k likes,4,0
15078, na thalaparhy veriyan but kaithi super trailer...,3,0
17302, siripaana tharamana sambavatha inemey tha pakapora,3,0
12632, brand new bmw il vannerangum ennu pratheekshichu,4,0
22453,in the early 1990s ampelographers began to distinguish sauvignon blanc from sauvignonasse plantings in chile,1,0
11319, omg thalaaaaaaaaaaaaaaaaaaaa love you so much..,3,0
13773,i whisper in your ear i am going to make lov to you tonight,2,0
3159,theatre ulla poi movie parkura varaikum paartha piragum kooda trailer paarkuratha niruthatheenga,3,0
7344,kidukki powlichu oru rekshayamilla onnum parayanilla,4,0
5521, onnum purila last fight mattum paravala,3,0
4395, e mass trailer ne vecchanalo madura raja ye compare cheyyunadh...kashtam,4,0
12450,ladakon ka kuchh nahin ho sakata,2,0
14984,kahaan se ho tum,2,0
3167,adipwoli comedy trailer aane ettaaa  ittichaayan,4,0
8043,bhaee mein subodh college,2,0
3986, en chlkutyy anna paruthiveeran karthi  i'm a thala veriyan bt i like karthi anna,3,0
6144,stafford assumed command of the air force flight test center november 4 1975 ,1,0
10386,too gaya nahin abhee tak,2,0
2396, ithoru onnonnara item avumenn urappullavar like adi ലാലേട്ടൻ,4,0
6909,mera naam shahzad aur aapaka,2,0
10549,you can leave this chat then why are you not leaving,2,0
22698," 2.o, ultra blockbuster, like if u agree, 🤘🤘🤙",3,0
14403, naan thala kidayaathu thala arukkuravan ejjathi dialogue,4,0
8400,aadhya real he baakee sab real tha,2,0
19604,student ho ya job karate ho,2,0
14087,i havent touched any grl till now,2,0
12989,yahee usool le ke jee rahee hain,2,0
9094, enthaayalum haters nu rosham theerkkan oru dislike button indayath nannayi..keedangal,4,0
10234, katta waitinggg marana masss idhaaan makkale heroism🤩🤩🤩,4,0
19223, title kandapol ninja game oarma vannu,4,0
7324,name likh to diya,2,0
20505, kuthiyirunn dislike adikkand,4,0
10866, mobile phonil kadapoolee ekkane ??appole theateril anakilo,4,0
10580,there are several ukrainians surnames derived from this word,1,0
20735,mera kya kaam hoga,2,0
21499,സണ്ണി chechy fanz adich polikk...,4,0
11798, 28 k guhanloussssss ooyi bere vallla pani nokkdaa nayakkkkaley,4,0
14599, oru rekshamilla makkalee...... varunnath oru onnonnara varava..  this deal is with a devil,4,0
5531,but just two days later bias died of a cocaine overdose,1,0
22447,he received less than 1 of the vote,1,0
6610,joke kar rahee ho,2,0
21897,bhaee name to bata,2,0
12424,these include the l donovani complex with three species l,1,0
14143,engal  manitha   kadavul,3,0
14932, 7.7k dislikes. athinu vendi enkilum vann trailer kandu views kootiyathil santhosham...,4,0
18250, appo nammalellavarum views & like ethrayayenn nokkan vannatha,4,0
17068, njan oru mohanlal fan aanu ennalum trailer istapettu pwoli,4,0
12323, enth potta trailer aanu... chumma mass ennu paranjittu karyamilla.... trailer verum waste. cinema enkilum nannaya mathiyarunnu,4,0
21409,reflections on violence page 210,1,0
10842, ithu polulla padam ikkanekkonde abhinayichu kanikkan pattu,4,0
21378, youtube hang aay pandaram.... eee pull load avanilllaaaaooooy....,4,0
8949,too bhee pune se hai,2,0
12697,haan bhaag bsdk,2,0
14026, trending #2 ku vandhaodana trailer pakaravanga like podunga,3,0
4984, ippa trailer parkuravanga oru comment pannunga ‍‍‍‍‍,3,0
1868,he shows them to several naval officers familiar with missile submarines,1,0
21356,bhaee bhaee bhaee bhaee,2,0
12390, inemel thala society kaga padam nadika matingurarunu yaravathu katharunanugana avlo tha... love uuu my dear mr.ajithkumar,3,0
3756," vayasukku taguntha nadippille, athan ivlo dislikes.",3,0
21947, padam vere leval kandu  ada oru figth,4,0
8004,thirumba trending #1 vandha eppadi irukkum?,3,0
17233, amithp and thala billa and ragini ithan enga thala,3,0
13474, mmmm 1000 times this video see,3,0
8118, last bid play in 0.25 speed rajini sir changing as akshay kumar getup..,3,0
8556, namaku thevayanadha naama dhan adichu vanganum,3,0
8260,mainne to private nahin kiya,2,0
6217,oh then donon maahaul banaane mein contribrute karate h,2,0
4897,lolante lucifer kand kaananthooni  vannavar,4,0
1488,tumhaara name kya h,2,0
8562,since then millennium park has become a major tourist destination for chicago,1,0
11208, nkp 30 million views varum solravaga thala fans hit like button 2million like,3,0
6961, namada channel suscribe cheyyooo ikkate valya aradhakan aneee,4,0
10119,often simply referred to as asian pears,1,0
20164,"karhtik subburaj mass pannitinga ,thalaivara supera kattirukinga thanks bro",3,0
9910,for historical reasons names quite frequently conflict,1,0
11561, theatre il ninnu nenjum virich irangan aavo entho - oru odiyan orma,4,0
6121,when electrical energy is required the process is reversed,1,0
7207,henry viii of england reorganised the council,1,0
13082, yov pa ranjith thalaivara vechu ippadi padam edukkanum..neeyum dhan eduthiye kumuthavalli kothamallinu,3,0
10303,the reasons for this are not clear,1,0
3656,marseille has been designated as european capital of culture in 2013,1,0
20005, ippe likes kettu oru koranggu koottam varanume!?,3,0
13950, long live ikka  long live ettan  long live malayalam movie,4,0
14791,ithu 10 m mamankam 15 m cross cheyuvayirikum,4,0
13629,beech mein bahut buildings hai,2,0
16813, trailer okke kollam pakshe evideyokkeyo pulimurukan keri varunnu ennu enik mathramano thonniyath??,4,0
