,text,lang,is_valid
17665, ‍ venda kutta uruttam  aaah pwoli background music,4,0
11278, lalettan  nthaaa lukkkk lalettan fans like me,4,0
16018,dislike adichavanmar enth kandittanavo......ee trailer thanne aano aavo kandath....,4,0
12807,boy se boy connect kara rahe h,2,0
19758,khada hota naee hai time se,2,0
5027,in practice the granting of assent is purely ceremonial,1,0
3407,copenhagen forlaget vartov p 35 ,1,0
12275,vo to abhee javaan hee hai,2,0
6584,the kidnappings had stopped and censorship had weakened,1,0
147,thalaivar dharisanam   pakkka mass 🤘🤘,3,0
16902, super anna  maku kavalasindi iedhaa,3,0
18628,ikka fance orikkalum madura raja iragiyaal thallaruth vere onnum alla ath laalettan lucifer film cheyyunud,4,0
2552, madhura raja pokkiri raja  rajadi raja raja manikyam rakshasa rajav,4,0
5161,tumhe isase pahale kahaan ke log mile,2,0
19286,kiribati has 10 consonants and 10 vowels 5 short five long,1,0
14895, dialog  bora ettan .saatha dilogu matre pattu .dileep .mammoka  dilogu suppera,4,0
20727, gvprakash nee nadikirayo illayo varusathuku 2 padamaavathu music compose panniru..bgm vera level ah irukku..songs also,3,0
7393,haath hee kaam aata h bhaee,2,0
12672, kola gaandla irukkaan mavanae kollaama vida maattaan. purinjavan purinjikkoa. puriyaadhavan purinjavan kitta kaettu therinjikkoa.,3,0
22376, ithu polichuuu ..   tovinoo .. broii .. i m also a ichayan of mii kalla kochu .. .,4,0
15131, kullan  suryavukku  trailer  pathu  kaduppu  ayirikkum,3,0
12372,abe jabaan sambhal ke,2,0
768,pakkum pothula thalivan tony stark niyabagam varuthu...   athukkagave dislike... dislike... dislike..,3,0
9494,kiss to de do ek,2,0
13731, vera level trailer mass thalaivaaaaaaaaaaaaaaaaaaaaaaaaa it may add in one of the best movies in 2019 list  thalaivarr mass patitaru,3,0
18334,aaj hee baat kar raha tha earthquake kee,2,0
6304,i did not ask you,2,0
3048, naan ellam lungi katyikit ooditta thalayadich veezhuva aanaaal !!! evan sadharana manithan illey 🤩🤩,3,0
7818,as also places silicic,1,0
7434,kyon jaldee ho rahee kya,2,0
418,i will message you from it on your number,2,0
4833, ennangada vjs eh pathi onnumey kaamikala.. movie la yavathu konjam getha kaaminga da..,3,0
7223,beta comae berenices is the brightest star in the constellation at apparent magnitude 426 ,1,0
2981,yet their hopes for establishing a natal republic remained short lived,1,0
4826,this could explain the lower risk among vegetarians,1,0
10811,abhee aap batao m message karata hu,2,0
4866, verithanam vere level . love u vetrimaran sir,3,0
12589, lalettan fans like.  super movie ikka muttwanu,4,0
20879,today pathavan mattum like ah podu,3,0
17629,they are powerful enemies of earth,1,0
18079,russian aasaanee se pt jaatee h kya,2,0
9431, rajuattan fans & mammokka fans like,4,0
15345, ithokke kandit engane dislike adikan thonnunadeeyy,4,0
13648, oru hit oru flop ath kondu ith angane karuthunulu,4,0
9941,degree ka kya achaar daalate,2,0
2254, likes koodeettum views 462k yil stuck aayi kanunnavar ivde come on,4,0
8809, oru kidilam bgmum songsum malayalathil kelkkanam gopi chettan sadakuzhanju ezhunelkkanam,4,0
10346, marana mass thala i am waiting🦁🦁🦁🦁🦁🦁🦁,3,0
7519,sunit aur aap,2,0
15249,one of  their early performances was at a benefit concert for radio freedom,1,0
5845,kya pata kab gaayab ho jao tum,2,0
1462,aisa kya mai abhee bhee gumanaam hee hu,2,0
22115, no words pwolikkum waiting by dq fan,4,0
10000,also bowlers sometimes practise run ups during the game,1,0
18962, jayettan  porikkum urappa    jayettan super aa  tcr    slangil,4,0
2324, black t-shartil iruttinte maravil oro  scenilum  kanunath rajuyettanu,4,0
2569, maoist alla maoistnte apanae varee  nammal  putikum all the best mammoka  & unda movie team,4,0
9806,milee thee abhee tumase pahale,2,0
18038,dislike panna vijay fans ku oru ooh podu,3,0
12709, chindhamani kolakkes.   ....like podra,3,0
17801, oru oru scenum goosebumps ahh iruku petta parak🤘🤘like podunga trailer pathu goosebumps anuvanga,3,0
21585,aap ka naam batao,2,0
14908,abhee mere paas saare i ata snapchat identity kisee ka bhee access nahin h,2,0
645,nkp vetri pera thalapathy rasiganin valthukal,3,0
5741, thalaaa  u r  great,3,0
18259, trending lla vanthachu eppa parunga da  petta paraakkkkkk,3,0
19261,the buddha statue shown calling for rain is a pose common in lao buddhist sculpture,1,0
6723, ee padathinte peru pole thannavum mikkavaarum padathinte avastha,4,0
18778,this same year his first illustration for punch magazine was published,1,0
20586, darbat 50k comment varanum 800k like varanum view 40 million varanum,3,0
1523,jitana jaruree hota bas utana hee,2,0
16327,it is named after the greek god hermes,1,0
19129,it just seemed like the timing was right,1,0
16706,koee girl friend hain tumhaaree,2,0
18461,bigil diwali.....verithanam.....one nd only thalapathy........(aamais paavam kirukku kuu mathrii trool pannitu irukkinga),3,0
9011,third since a,1,0
22197,nee innum pogala ya,2,0
2911,silent ahh vandhalum violent ahh irukum,3,0
8761,age is just an number enn manassilaki thanna trailer,4,0
2600," all ok,but indha soori koothiyan dhan problem,mokka joke koothiyan",3,0
13263, madhura rajayude fan ticket eduthavar like adiche,4,0
14469,ith pokkiri rajayude appanayitt varum enn thonnunnavar ivide like adi,4,0
8365,sk : nan super hero agaporen  vivasayi : am i joke to you,3,0
1747, oru vattam kandittum veendum kanan vannavar like adikke...,4,0
10586,the district has a population of 506 inhabitants,1,0
5347,be lode time pass mat kar name bata ab,2,0
18057, padam vera level la irukkum pola.... conform 250 crores box office,3,0
9971,ho jaegee bandee set,2,0
9347,are baaba aap chup raho,2,0
20080,they share her homes in klosters and london,1,0
8133,it provides rooms of various sizes to over 500 students,1,0
2990, onam lalettan eduthu ennu parayan paranju,4,0
17263,other students join the iba,1,0
2704,they instead formed their own group,1,0
5243,hn sure you just give yours i will drop a message,2,0
16872,europiumii chemistry is very similar to bariumii chemistry as they have similar ionic radius,1,0
17300, katta waiting ..from a katta ettan fan,4,0
14520,i am from lucknow and you,2,0
6970, thalaivar superstar legendary legend rajini sir aatam aarambam,3,0
4350, lalettan annum innum ennum mollywood raja,4,0
13589,the color of welfare how racism undermined the war on poverty,1,0
21364, oru rakshyum illatha trailer trailer ingane aanenkil movie eganeyayirikkum mass aayirukkm,4,0
1816, lucifer trailor kandit..  odiyante viewsum likeum nokkan vannavar arokke anu...,4,0
18953,a town sprung up next to the mine and was named after gunter,1,0
3034,the korematsu decision has not been explicitly overturned,1,0
22026,kutcher is a chicago bears fan,1,0
21300, hindi mai kb aayega 2.0 ka trailer,3,0
11254,enna padam ethillum high irakiya villian potti palisayi pinna ithe,4,0
8803, onnum parayan illa laletta u trigger again ...,4,0
10794,theek hai jaise hai vaise hee rahana chaahie,2,0
14905,vera vera level leveluu levelungo.. thala thala thala thala..,3,0
10270, antha kadaisii waarttha ungaloda vishwasattha kaatta matthavangala ean asinga padutthringa...,3,0
4003,the level set going through x0 is ,1,0
886,when he returns he succeeds in seducing her while disguised,1,0
9086,phirarar to mera nikal hua naam hee sahee hai,2,0
12274,vera level yaa awesome....... bigil la oram tha poganu.......,3,0
17770, dr vaseegaran dan villain ah ?,3,0
21327,yahaan tak aa gae,2,0
20938,they were marked by several severe labour disputes,1,0
5079, kiruku thanamana oru trailer...idhunala yaruku enna use,3,0
18469,usase ko pyaar kar lo,2,0
22469,are sahee to hai,2,0
11765,mujhe kaun sa first aana hai,2,0
9906,bataaya to time pass,2,0
436,maee to tumhe pyaar se rakhoonga,2,0
22265, madi idu madi laalletta  ninga polichuuu,4,0
4808,by the way i am disc jockey and music producer you are too,2,0
18766,shaayad mil jaayen dobaara,2,0
21799, thala nee vera level thala trailer pakka mass,3,0
3471,if that was indeed true then as a legal matter the law was entirely unnecessary and redundant,1,0
363,mahendra kaushik ho na tum,2,0
22274,kang is played by both male and female meities of manipur,1,0
17727,yahaan face book pe aazaadee nahin hai aur instagram pe saare pervert baithe hai,2,0
654, ultimate star king maker thala ajith kumar,3,0
18549,this genus is abbreviated eupha in horticultural trade,1,0
10398,raven then donned a white cloak to represent freedom from her fathers influence,1,0
16310,he moved to the university of washington in 1968 ,1,0
5130, it's a blockbuster .... prithvi keeeee jai. ....,4,0
15576,main hee hoon baar baar,2,0
9584,but not carcinoma in situ,1,0
10542, ennum ravile trailer kaanan vendi ezhunelkkunnavr ivde,4,0
416,c hungry,2,0
3175,the scythed chariot was a modified chariot,1,0
343, last aa adi... ammo onnim parayaanilla,4,0
12276,nahin re bhaee extra,2,0
9285,padh rahe ho kya,2,0
19122,one year later in october germanicus died suddenly in antioch modern antakya turkey,1,0
10583,gv prakash theme music pichu uthurathu....intha deepavaliku asuran ku thanga vettai da..,3,0
6897,karthi fans hit like  blockbuster  kaithi...  bigil big flop,3,0
2712, oruthan mela viswasam kaata inoruthana yen asingam paduthuringa #veralevel thala,3,0
7093, karthi sir welcome to my kadavur village... tq sir ..,3,0
16575, u1 .  thala fans yarellam  thala 60kum uvan music panna nalla irukumnu aasapaduringa ? like me .,3,0
11103,cellphone ceiling a odachutu poguda?  ena dan padama irundalum oru nyayam vendama da,3,0
17732, ethirpartha alavukku illa...bgm mattama irukku... why ghibran🤦‍🤦‍,3,0
16843,give me your identity i will send you request,2,0
13722, mass kaanikkan lalettante kazhinje ullo aarum annum innum,4,0
15753,superintendent pascal,1,0
16280, aadhyam lalettante kude lucifer...ippo mammukayude koode ith....rajuvettaaa,4,0
3253,password protection for modern operating systems,1,0
19239,the hotel changed its policy and so did the order,1,0
3698, thalaivaa pakka massssss only one super star,3,0
11402,thaliva  gun   style super vara lavel thaliva,3,0
19557, vera vera vera level thala maasssaaa daaaa,3,0
7812,adenna da ellarum gramatta kappatardu vyavasayatta kapthrennnu,3,0
18303,dek raha hai bhaee too psycho hai,2,0
11175,the 200506 season ended in disappointment for feyenoord,1,0
19137, super 805k likes night kulla 12 million views thandanum thala bloods....,3,0
4287,it has since been dismantled,1,0
22215,they knew the people in rosewood and had traded with them regularlywilliam,1,0
4749,padam mass uh iruka poguthu...tha... vera level da...thalaivar,3,0
17644,the shields blazon is as follows,1,0
6110, trailer la marana kaatu kattitangah  get rajinified  by thalapathy fan,3,0
18044, oru rakshayillaaaaaaaaaaa . mass nte extreme,4,0
1190, mass semmayya iruggu super star style mass than,3,0
2351, ithokke cheyyumpo mamookkakku,4,0
6113, trending no:1...thala daw vera evan daaa,3,0
13833, ade maireada dislike adichirikkunde plastic fans ayirikkum,4,0
3765,and i shall have him,1,0
631,a player may pass on any move,1,0
20974, ini aarkkum onnum parayaanillallooo remember the name: laleettan,4,0
1059,marsupials and monotremes also possess one,1,0
3631,to dinner phir kahaan,2,0
17269, last dialogue mass ... sila per serupala avangale adichukoanga .... thala da,3,0
5482, aaa dislike adicha poorimakkalude ammakku mohanlal anu adichu kodukkunnadu tonnunnu,4,0
3061, sema ultimate trailer . i m so so exited.,3,0
21478, i hope this will be the best thriller film superb trailer  oru rakshayumilla.... kidukaachi kidiloski item....  #katta waiting for #lucifer,4,0
18648, entammachiii... njaan mammoottykkaane kaanaan vendi maathramaanu ee trailer kandathu...,4,0
20804,four 243 he then bought the baxter buildingfantastic,1,0
1431,mersal 1.1 m likes sarkar 1.4 m likes bigil 2.3 m likes #thalapathy da,3,0
21796, karthi annaaaa vera level acting,3,0
14926, epo yaralaa trailer pathuttu erukinge like podunge,3,0
20259,bas girl friend dila do,2,0
22174, padam moonjiyathinu shesham ethra peru vannu?,4,0
4921,blanchard was awarded a substantial pension by louis xvi,1,0
19375,too bhee pareshaan ho gaya,2,0
19775,i am waitng fool you reply na kabase,2,0
1260,avan charddichu saare maala kittiyilla eni edikkano venda kutta uruttam''',4,0
4599,chafee takes fellowship at brown,1,0
8820, padam kandu.. ennittum veendum tralier kaanan thonunnu.....,4,0
21624,all models featured a new front grille,1,0
6027, karikkele lolattenem lalettenem  eshtamullavar like adi,4,0
15347, that climax dialogue...padippa mḁṯṯṳm namma kitta eduthukka mudiyadhu,3,0
6692,a totem pole rarely lasts over 100 years,1,0
13161,poli poli poli 🥰🥰🥰chende bgm wooow,4,0
16370,why are from where in india,2,0
10576, pazhanjan formula aanaloo .....  oru gramam,4,0
2112, triple strong aane makkale rajayum rajayude pillerum,4,0
8408, ettan fan adichu polikyeda like button,4,0
7333," yenda atlest oru laalaikku munnaiyaavadhu announce panradhu illa , trailer relaese panna porom nu",3,0
345,koee ladakee hee nahin h,2,0
2948,kya baat kara bhaee,2,0
5883, 701 likes thala fans 1 million likes varanum pangaaigala,3,0
19121,no motorized vehicles are permitted on the lakelands trail,1,0
19431,zurvan then sacrificed for a thousand years,1,0
3137,this decision led to the end of the duchy,1,0
21820,president rule kar dena chaahie,2,0
13816,his safe at the hotel was also opened,1,0
15405, ennalum ente idivettu suguna ninne ithilu kandillalo,4,0
11446,hollywood level item. ikkaaa,4,0
22722,wishwasich koode varunnavare geevan      kodutayalum samrakhikkum,4,0
8732,it has a local parliament of andalusia and president,1,0
7768, oruthavanga mêla viswasam kadurathukaka en inoruthara asinga paduthuringaaaaaaaa best ever dialogue thala,3,0
10020,tum muhh mein denge,2,0
20428,1:16 rangaraj pandey.. avar nadikkala. avaroda velaya padathula seiraru,3,0
20477,mera naam jitenra hai,2,0
15171,bahut aa jaayenge is name se to,2,0
7742,in many us states they are called public utility commissions,1,0
2190,lucifer inte munnil enthonn raaja.! ettan da...,4,0
2939,banzei was later revived as banzai after the meiji restoration,1,0
8041,by now the sub force was saying two more,1,0
15369, evidayokkayo oru aada movie touch thonniyathu enikku mathram aano,4,0
14363,district one to,1,0
21082, rajini + sankar + ar rahman = vera level.. intha combo kkaaga tharalaama paakalam,3,0
7442,south hetton constitutes a separate parish,1,0
2925, thala fans views konjam adigama ethunga social media trending thala fans mattum tha irukkanum views konjam ethunga,3,0
6222,i am only doing eating and sleeping and social life,2,0
8220,tension na lo chill scene hai,2,0
2490, wow  katta maas movie.... ....waiting,4,0
6040, thalaivaaa verithanam .........apdye chumma therikkavidra,3,0
5936,the hsv stands for high speed vessel,1,0
404,all tracks written by yeah yeah yeahs,1,0
3859, olaaaa   oooola  oooole,4,0
9147,gts are thus structure building rather than structure changing,1,0
9800,during the filming of the movie help,1,0
21989, 15 minutes.... 151 k viewrs...,4,0
8390,it formed drilling partnerships with several companies including freeport,1,0
15066,bhaee m ladakee nai hu,2,0
17739, 200 times ku mela pathavanga like here,3,0
2580,miss chesimard ill trial here delayed,1,0
11594, all tamilians look like africans lol,3,0
22581,thala ajith in ner konda  parvai  august 10 th i am    marana waiting,3,0
18742,see main article information technology governance,1,0
20656, njan laalettan fana pakshe i love this movie,4,0
1765, 131k   8k.    view 17k  🤔🤔🤔,4,0
21757,and after all that shit broadband ko bhee aaj hee band hona tha,2,0
18013, diwali ku sambavam unduu....#kaithi marana waiting,3,0
2463,external sovereignty concerns the relationship between a sovereign power and other states,1,0
1955,chal theek hai soni,2,0
20238,his mother was the persian people noblewoman goharshad,1,0
18140,north by northeast is a volunteer driven music festival,1,0
17760,the front of the mall was also remodeled,1,0
22739, pakathana pora intha kaalioda atatha... petta parak....,3,0
16488,the town has also been known as nether hoyland,1,0
19420,tera najayez baaap behenklaude,2,0
7715, nawazuddin ah enna da panni vachrukinga?,3,0
1988,number bata ke jaaye na,2,0
10365,kyon khada nahin hota kya,2,0
16152,babu understand khaana khana he baad me pakka babu aaj full night please,2,0
6996,whats u your name,2,0
662,thee to sahee na,2,0
2114,another campus was located in mississauga on chedworth way was opened in 1997 ,1,0
18788, madhura raja oru sadarana padam aaan #twist twist🥰,4,0
15898, suraj chetan kunjunni maashinte athe cut und.....valare nalla character chetaa,4,0
17009,kinnan oru rakshayum illa bgm kidu,4,0
4670,ham sab bahanon kee pet chalatee hai isee vyaapaar se,2,0
20604,in armed forces  society an interdisciplinary journal 26 p387,1,0
6028, 90's kids hit like!,3,0
11725,salleya bande da putt ban jaa too,2,0
15167,abhee jisapar chaat kar rahe hai vo,2,0
10923,four weddings and a funeral 1994 features the old hampstead town hall on haverstock hill,1,0
11127,60th anniversary ferrari 612 sessanta,1,0
3662,aise baat karoge ladakiyon se toh kaise chalega,2,0
5174,are uhh there,2,0
4774,kidu trailer,4,0
21037,cmmnt bx full like veendavar aanallo,4,0
520, namukku thevayanath naama thaan adichu vanganam,3,0
22218,tum jhooth bol rahi ho,2,0
12070," dai enada ithu thaarumara irukku, vetrimaran dhanush once again proved.",3,0
11688,and are you from kolkata only,2,0
16128, youtube nde kaat poyirikkugayaan.. 1 manikkoor aayi ithuvare youtube nde hang maariyittilla..🤣🤣,4,0
15338, atom bomb,4,0
18834,deivame ith 2 manikkooril nilkkooo.aarekooyaanithil.ho myaaarakam.lalettan kiiiiii.🤠,4,0
11249,pahale dhoodho to sahee,2,0
19415, gethu kaatraru pa vikram ji.... mersalayitan.....,3,0
9070,the city grew and prospered during the ancient roman period,1,0
22090,hm phir se mil gae,2,0
5378,oruthar mela viswasam katrathukaga innkruthara en asinga paduthureenga.. !!🤕🤕,3,0
18489,california state route 36 passes through fredonyer pass,1,0
22120, ellorum video ku like  pannunga....,3,0
6979, laleetanu ikka fansite  best of luck,4,0
8536, sweet sappttu vanthavanga mattum like pannunga,3,0
11749, raja raja raja madhura veera raja,4,0
20468,it was he who completed the walls and stone keep,1,0
8147,x band is often used in modern radars,1,0
1721,me too fine,2,0
2166, surajinte body transformation... ho... vere level nadan aakuvanello oro padam kazhiyumthorum..,4,0
39, ante mone,4,0
6550,come on daklash hondo,2,0
7475,edake edake views nikkan varunna njn matram ano,4,0
4984, we need in kannada as well..dubb in kannada too,3,0
11810, ennada bomma padam mathire irukku enna kandravi anim ithu,3,0
19490,jaisa aaj raat feel hua aisa koee karata oaya kya,2,0
4890,launda hi hun,2,0
2421, views 17k.. likes 100k .. itenda ingne?,4,0
6828, itrem nalum  kathu 6 manikkoor koode kakkam,4,0
15215, pangaligala vidama trailer paarunga free time la release kula 15m views 1 m likes varanum,3,0
17301,mugamoodiku moonu ticket irukku.. variya...,3,0
12701, character eakadesham same aaanallo vyshakh sir,4,0
22396,its is a fusion of rb rapping electropop and dance pop,1,0
11627, ena pa ipdi iruku vera level..,3,0
13915,bhaee de na introgaali deke bhaagio mat,2,0
3230, thala and yuvan bgm epa dae,3,0
7250, climax dialog.... verum satyam mathram. qurbana- pothirachi,4,0
5713, thala tha mass sollu luruka like pannuga...thala ya pakka wati panurukaga like it....,3,0
4381, pokkiraja pole full masa entertainment allann thonunnu..nallaru storyum ullath pole 🥰,4,0
12613,time kharaab chal raha hai mera,2,0
15103,pahale batao m kaun hoon,2,0
3043, aa thumb nail ile look nokkiyatte. oru adaar mass block ulla rangam aanen urappayi,4,0
8353,sallu bhaee ura dega tujhe,2,0
4011, vayasaana kaalathul ethuku unaku entha veala kilatu payale,3,0
5728,vitamin b12 deficiency report of a childhood case,1,0
10617,saket metro station se fifteen minute lagate hain,2,0
2350, trailer kidukki look at the likes,4,0
7140,apane baap ka naam kyon bata raha hai,2,0
10718,till then take care,2,0
22687, oruthar mela viswasam kaatrathukkaga innoruthara yen asinga paduthuringa,3,0
14482,271 dislike ara adichethennu ivide ellarkkumariyaam,4,0
8712,so you will not tell your name,2,0
19687,agar baat karanee hai aur toh,2,0
14194,hmm haa achchha kiya par thode log rahate achchhe vaale,2,0
13158,par itana saara dialogue nahin maarate,2,0
8878,numma or nummade or nammande palakkad le katha aanu,4,0
10110, bhagavane  ikka maranamass  bgm,4,0
19333, doll inte bgm ishtappettavar like adikk,4,0
7591,g sahee kaha aapane,2,0
20618, poliiiii oru rekshem illa katta waiting,4,0
10850, idhu telugu movie kalki yde remake anoo,4,0
10144,often 1934 australias activities,1,0
20810,but you didnt disclosed your identity mainne toh bata dee thee tumhe,2,0
21602, trailer kollarkium nu oru pratheeksha ondarinnu...pakshe ithu athukkum mele,4,0
11748, eth theatre allaam onn  kulukkum,4,0
14681, 65 k ലൈക്‌ 16 k view hangayi,4,0
5172,firing the weapon counts as one move,1,0
22393,gaunt a during woodsetts,1,0
6837,yaar ek to english bolane m feelings kee maan bahan ho jaatee h,2,0
21913,aisa kuchh nahin hai,2,0
11937,he learned extensively from al shafii,1,0
14448, ivan vera siripu ivanuku oru loosu followers vera,3,0
15061, video kandutheran samayam aayilla athinu munne malaranmar dislike adikan thudangi,4,0
18321, sathyam paranjaal trailer oru maja illaa,4,0
17288, ethippoo കൂതറയിലെ   mohanlalinte make over aayinda...,4,0
12390, innanu movie kandathu.....kidu nnu paranjal pora......kidilokkidilam,4,0
21303,not a movie not a novel,1,0
10827,psycho movie aanenu thooniyavar like adi,4,0
21484, ufffff..ejaadhiii..lalettann rdjile edjelum oruu svene e jenmam vheyaan patilaa..trailer kandd karayunundaabumm ettan and ettan fanss,4,0
9266,are you from kerala,2,0
12812,voh kisee bhee college se zyaada hee seekhega,2,0
14300,̷̿̿ i am waiting sk  anna...,3,0
5104, mass romba maranam iruku. vera level mass .,3,0
1892,well all except that silly one,1,0
21466,kahaan se ho bhaee,2,0
12698, dei dislikers vayiru erinji saavunga da,3,0
3791, maranam massu maranam toughu tharanum adhukku avan thaan porandhu varanum = rajini   lhs = rhs  hence proved.,3,0
21976, film kandathin sheshavum trailer veendum veendum kanunnu ..hangover,4,0
8308,meendum family yoda paka koodiya oru nalla padam,3,0
17237, tomorrow fdfs yar yar poringaa ?,3,0
13832, with in one minute la pathavanga like panuga,3,0
8447, marana waiting for dhanush anna asuran,3,0
8930, ajith thalathala nu irukaru nalla gummunu,3,0
8606,yahi toh dikkat hee,2,0
6460,india mein kaha se,2,0
4848,ee padathine nammal vijaya gara maakkanam....,4,0
1564,ham to had hain,2,0
8022,so why is this the only hit,1,0
11540,marvel mathiri copy adichurkingale da 0.33,3,0
6866, trailer kaduppam odiyan pole akathirunnal mathiyayirunnu,4,0
9703,092 of the population were hispanic or latino of any race,1,0
20068, yuvan shankar raja  love  yuvan vijay,3,0
9540,later the crimean tatars founded the town of aqmescit,1,0
11497, namude swantham mammookkayk lalettan fansinte vaka asamsakal..mamangam nalloru thirich varav sammanikatte.. trailer kidukiyitund,4,0
5710,these were known as fluoroscopes,1,0
6756,plotz was furious about that cartoon,1,0
13355, hindi rajni fans hit like,3,0
9902,ringo replied with no weve already got a drummer,1,0
3411,the second anglo afghan war began a year later,1,0
19930, waiting for kalyani priyadharsan's kollywood entry  :),3,0
13934, maamangam trailer kanditt vannavar like adi,4,0
14881,raju ettante innathe new lucifer still kanditt,4,0
13748,mein sarakaaree mein padha hoya majnu mera naam gadha hoya vaala system hee apana,2,0
17023, ikka mwuthe happy birthday   lub u,4,0
9065, yeanda ivlo stylish aana role ku  punch dialogue kuduthu saavadippeenga,3,0
15580, excellent  ajith sir semma,3,0
13516,oh nahin de sakata,2,0
17582,engineering karake hi pata chal raha h itna talent h apane andar,2,0
20051,nahin nahin mein to main noida vaalee hoon,2,0
21579,munh mein chhiiiii,2,0
4928,chal pahale sikh ke aa bete abhee bacha hai too is khel mein,2,0
7567,several versions of the design exist differentiated by their shape,1,0
5414, sweet saapda porom scene la ironman feel varude pa.. yenakku mattum daana🤔,3,0
7829, thalivaaa....................marana mass .  ithu vera level,3,0
20599,they were france germany and great britain,1,0
13444,image of completed coronation theatre at bottom,1,0
5294,doggy ban kar tere oopar chadh kar,2,0
