,text,lang
22253,1974	fa cup winners first division runners up,1
5963, kashtapettu unlike cheyyunnavar aaruda fans ennathinu samsayamilla  iniyatra unlike adichalum avarkariyam padam records bedikumennu,4
2559,comparisons between lmwhs prepared by similar processes vary,1
3511, gommala vaaa thaliva neee vaaa thalaiva,3
1501," nammakitta kaadu irundha eduthukuvanunga, rupa irundha eduthukuvanunga, padipu irundha yavanalum edukamudiyadhu.....",3
14180,he is born as bhishma,1
3400,he is a keen supporter of leeds united,1
14076, mammooty fansavm dislike adiche poi madhurajak adikadaa etu vere levela mone dineshaa,4
11538,hcmv is one of the torch infections that lead to congenital abnormalities,1
9719,firstly tell yours na,2
1904, naan pakka thalapathi fan ana padam supara irukum all thalapathi fan wishes,3
15085, ikka mass kolamass no raksha,4
14976,leg piece alag hota,2
21244, naan thala kidayaathu thala arukkuravan ejjathi dialogue,4
2566, malayala cinema heightsukal keezhadakunnu... innevare ulla cinemakalil ninn vyathasthaamaayi chithreekarikunnu... proud to us...,4
17236,it also has the worlds third longest single span,1
22699,sahee hai decision hee mat lo,2
14821,advanced precomputation methods exist that are even more effective,1
17354, kasab filmil mammooty ye matti tovino akiya pole ondu telugu padam pole,4
7454,mujh par to gussa nahin aaega na,2
11170,power lines have a defined maximum load,1
16457,anirudh ji sirappana tharamana bgm ji🤙🤙🤙,3
14475, move pathutu vanthu trailer pakurvnga yaru,3
9757,incarnation allows players to individualize their game characters,1
11632, #01 on trending in sri lanka,3
8393, katt waiting far lalattan far lusifer,4
7357,mamangam mohanlalum marakkar mammookkayum ayirunnenkil.ith chanthuvine ormippikkunnu,4
12642, life time viewae 11m thaandathu pola. kodumai.,3
7272,mammukka fans  suriya fans  vijay fans like adikk ivide,4
11452, padam release cheyunne annu thanne kanumanne urapullavar like adike machanmaree,4
14748,expressed mathematically this assumption may be written as,1
6690, bro full support rock man allel,4
16539, en thalaivanukku mattum markandeyan varam kidachu iruntha sema,3
5069,mein agra se hu bhaee,2
22203,it was used to carry dispatches for the war between france and austria,1
10813, santhosh narayan music pottu iruntha innum nalla irunthu irukum .,3
17665, ‍ venda kutta uruttam  aaah pwoli background music,4
11278, lalettan  nthaaa lukkkk lalettan fans like me,4
16018,dislike adichavanmar enth kandittanavo......ee trailer thanne aano aavo kandath....,4
12807,boy se boy connect kara rahe h,2
19758,khada hota naee hai time se,2
5027,in practice the granting of assent is purely ceremonial,1
3407,copenhagen forlaget vartov p 35 ,1
12275,vo to abhee javaan hee hai,2
6584,the kidnappings had stopped and censorship had weakened,1
147,thalaivar dharisanam   pakkka mass 🤘🤘,3
16902, super anna  maku kavalasindi iedhaa,3
18628,ikka fance orikkalum madura raja iragiyaal thallaruth vere onnum alla ath laalettan lucifer film cheyyunud,4
2552, madhura raja pokkiri raja  rajadi raja raja manikyam rakshasa rajav,4
5161,tumhe isase pahale kahaan ke log mile,2
19286,kiribati has 10 consonants and 10 vowels 5 short five long,1
14895, dialog  bora ettan .saatha dilogu matre pattu .dileep .mammoka  dilogu suppera,4
20727, gvprakash nee nadikirayo illayo varusathuku 2 padamaavathu music compose panniru..bgm vera level ah irukku..songs also,3
7393,haath hee kaam aata h bhaee,2
12672, kola gaandla irukkaan mavanae kollaama vida maattaan. purinjavan purinjikkoa. puriyaadhavan purinjavan kitta kaettu therinjikkoa.,3
22376, ithu polichuuu ..   tovinoo .. broii .. i m also a ichayan of mii kalla kochu .. .,4
15131, kullan  suryavukku  trailer  pathu  kaduppu  ayirikkum,3
12372,abe jabaan sambhal ke,2
768,pakkum pothula thalivan tony stark niyabagam varuthu...   athukkagave dislike... dislike... dislike..,3
9494,kiss to de do ek,2
13731, vera level trailer mass thalaivaaaaaaaaaaaaaaaaaaaaaaaaa it may add in one of the best movies in 2019 list  thalaivarr mass patitaru,3
18334,aaj hee baat kar raha tha earthquake kee,2
6304,i did not ask you,2
3048, naan ellam lungi katyikit ooditta thalayadich veezhuva aanaaal !!! evan sadharana manithan illey 🤩🤩,3
7818,as also places silicic,1
7434,kyon jaldee ho rahee kya,2
418,i will message you from it on your number,2
4833, ennangada vjs eh pathi onnumey kaamikala.. movie la yavathu konjam getha kaaminga da..,3
7223,beta comae berenices is the brightest star in the constellation at apparent magnitude 426 ,1
2981,yet their hopes for establishing a natal republic remained short lived,1
4826,this could explain the lower risk among vegetarians,1
10811,abhee aap batao m message karata hu,2
4866, verithanam vere level . love u vetrimaran sir,3
12589, lalettan fans like.  super movie ikka muttwanu,4
20879,today pathavan mattum like ah podu,3
17629,they are powerful enemies of earth,1
18079,russian aasaanee se pt jaatee h kya,2
9431, rajuattan fans & mammokka fans like,4
15345, ithokke kandit engane dislike adikan thonnunadeeyy,4
13648, oru hit oru flop ath kondu ith angane karuthunulu,4
9941,degree ka kya achaar daalate,2
2254, likes koodeettum views 462k yil stuck aayi kanunnavar ivde come on,4
8809, oru kidilam bgmum songsum malayalathil kelkkanam gopi chettan sadakuzhanju ezhunelkkanam,4
10346, marana mass thala i am waiting🦁🦁🦁🦁🦁🦁🦁,3
7519,sunit aur aap,2
15249,one of  their early performances was at a benefit concert for radio freedom,1
5845,kya pata kab gaayab ho jao tum,2
1462,aisa kya mai abhee bhee gumanaam hee hu,2
22115, no words pwolikkum waiting by dq fan,4
10000,also bowlers sometimes practise run ups during the game,1
18962, jayettan  porikkum urappa    jayettan super aa  tcr    slangil,4
2324, black t-shartil iruttinte maravil oro  scenilum  kanunath rajuyettanu,4
2569, maoist alla maoistnte apanae varee  nammal  putikum all the best mammoka  & unda movie team,4
9806,milee thee abhee tumase pahale,2
18038,dislike panna vijay fans ku oru ooh podu,3
12709, chindhamani kolakkes.   ....like podra,3
17801, oru oru scenum goosebumps ahh iruku petta parak🤘🤘like podunga trailer pathu goosebumps anuvanga,3
21585,aap ka naam batao,2
14908,abhee mere paas saare i ata snapchat identity kisee ka bhee access nahin h,2
645,nkp vetri pera thalapathy rasiganin valthukal,3
5741, thalaaa  u r  great,3
18259, trending lla vanthachu eppa parunga da  petta paraakkkkkk,3
19261,the buddha statue shown calling for rain is a pose common in lao buddhist sculpture,1
6723, ee padathinte peru pole thannavum mikkavaarum padathinte avastha,4
18778,this same year his first illustration for punch magazine was published,1
20586, darbat 50k comment varanum 800k like varanum view 40 million varanum,3
1523,jitana jaruree hota bas utana hee,2
16327,it is named after the greek god hermes,1
19129,it just seemed like the timing was right,1
16706,koee girl friend hain tumhaaree,2
18461,bigil diwali.....verithanam.....one nd only thalapathy........(aamais paavam kirukku kuu mathrii trool pannitu irukkinga),3
9011,third since a,1
22197,nee innum pogala ya,2
2911,silent ahh vandhalum violent ahh irukum,3
8761,age is just an number enn manassilaki thanna trailer,4
2600," all ok,but indha soori koothiyan dhan problem,mokka joke koothiyan",3
13263, madhura rajayude fan ticket eduthavar like adiche,4
14469,ith pokkiri rajayude appanayitt varum enn thonnunnavar ivide like adi,4
8365,sk : nan super hero agaporen  vivasayi : am i joke to you,3
1747, oru vattam kandittum veendum kanan vannavar like adikke...,4
10586,the district has a population of 506 inhabitants,1
5347,be lode time pass mat kar name bata ab,2
18057, padam vera level la irukkum pola.... conform 250 crores box office,3
9971,ho jaegee bandee set,2
9347,are baaba aap chup raho,2
20080,they share her homes in klosters and london,1
8133,it provides rooms of various sizes to over 500 students,1
2990, onam lalettan eduthu ennu parayan paranju,4
17263,other students join the iba,1
2704,they instead formed their own group,1
5243,hn sure you just give yours i will drop a message,2
16872,europiumii chemistry is very similar to bariumii chemistry as they have similar ionic radius,1
17300, katta waiting ..from a katta ettan fan,4
14520,i am from lucknow and you,2
6970, thalaivar superstar legendary legend rajini sir aatam aarambam,3
4350, lalettan annum innum ennum mollywood raja,4
13589,the color of welfare how racism undermined the war on poverty,1
21364, oru rakshyum illatha trailer trailer ingane aanenkil movie eganeyayirikkum mass aayirukkm,4
1816, lucifer trailor kandit..  odiyante viewsum likeum nokkan vannavar arokke anu...,4
18953,a town sprung up next to the mine and was named after gunter,1
3034,the korematsu decision has not been explicitly overturned,1
22026,kutcher is a chicago bears fan,1
21300, hindi mai kb aayega 2.0 ka trailer,3
11254,enna padam ethillum high irakiya villian potti palisayi pinna ithe,4
8803, onnum parayan illa laletta u trigger again ...,4
10794,theek hai jaise hai vaise hee rahana chaahie,2
14905,vera vera level leveluu levelungo.. thala thala thala thala..,3
10270, antha kadaisii waarttha ungaloda vishwasattha kaatta matthavangala ean asinga padutthringa...,3
4003,the level set going through x0 is ,1
886,when he returns he succeeds in seducing her while disguised,1
9086,phirarar to mera nikal hua naam hee sahee hai,2
12274,vera level yaa awesome....... bigil la oram tha poganu.......,3
17770, dr vaseegaran dan villain ah ?,3
21327,yahaan tak aa gae,2
20938,they were marked by several severe labour disputes,1
5079, kiruku thanamana oru trailer...idhunala yaruku enna use,3
18469,usase ko pyaar kar lo,2
22469,are sahee to hai,2
11765,mujhe kaun sa first aana hai,2
9906,bataaya to time pass,2
436,maee to tumhe pyaar se rakhoonga,2
22265, madi idu madi laalletta  ninga polichuuu,4
4808,by the way i am disc jockey and music producer you are too,2
18766,shaayad mil jaayen dobaara,2
21799, thala nee vera level thala trailer pakka mass,3
3471,if that was indeed true then as a legal matter the law was entirely unnecessary and redundant,1
363,mahendra kaushik ho na tum,2
22274,kang is played by both male and female meities of manipur,1
17727,yahaan face book pe aazaadee nahin hai aur instagram pe saare pervert baithe hai,2
654, ultimate star king maker thala ajith kumar,3
18549,this genus is abbreviated eupha in horticultural trade,1
10398,raven then donned a white cloak to represent freedom from her fathers influence,1
16310,he moved to the university of washington in 1968 ,1
5130, it's a blockbuster .... prithvi keeeee jai. ....,4
15576,main hee hoon baar baar,2
9584,but not carcinoma in situ,1
10542, ennum ravile trailer kaanan vendi ezhunelkkunnavr ivde,4
416,c hungry,2
3175,the scythed chariot was a modified chariot,1
343, last aa adi... ammo onnim parayaanilla,4
12276,nahin re bhaee extra,2
9285,padh rahe ho kya,2
19122,one year later in october germanicus died suddenly in antioch modern antakya turkey,1
10583,gv prakash theme music pichu uthurathu....intha deepavaliku asuran ku thanga vettai da..,3
6897,karthi fans hit like  blockbuster  kaithi...  bigil big flop,3
2712, oruthan mela viswasam kaata inoruthana yen asingam paduthuringa #veralevel thala,3
7093, karthi sir welcome to my kadavur village... tq sir ..,3
16575, u1 .  thala fans yarellam  thala 60kum uvan music panna nalla irukumnu aasapaduringa ? like me .,3
11103,cellphone ceiling a odachutu poguda?  ena dan padama irundalum oru nyayam vendama da,3
17732, ethirpartha alavukku illa...bgm mattama irukku... why ghibran🤦‍🤦‍,3
16843,give me your identity i will send you request,2
13722, mass kaanikkan lalettante kazhinje ullo aarum annum innum,4
15753,superintendent pascal,1
16280, aadhyam lalettante kude lucifer...ippo mammukayude koode ith....rajuvettaaa,4
3253,password protection for modern operating systems,1
19239,the hotel changed its policy and so did the order,1
3698, thalaivaa pakka massssss only one super star,3
11402,thaliva  gun   style super vara lavel thaliva,3
19557, vera vera vera level thala maasssaaa daaaa,3
7812,adenna da ellarum gramatta kappatardu vyavasayatta kapthrennnu,3
18303,dek raha hai bhaee too psycho hai,2
11175,the 200506 season ended in disappointment for feyenoord,1
19137, super 805k likes night kulla 12 million views thandanum thala bloods....,3
4287,it has since been dismantled,1
22215,they knew the people in rosewood and had traded with them regularlywilliam,1
4749,padam mass uh iruka poguthu...tha... vera level da...thalaivar,3
17644,the shields blazon is as follows,1
6110, trailer la marana kaatu kattitangah  get rajinified  by thalapathy fan,3
18044, oru rakshayillaaaaaaaaaaa . mass nte extreme,4
1190, mass semmayya iruggu super star style mass than,3
2351, ithokke cheyyumpo mamookkakku,4
6113, trending no:1...thala daw vera evan daaa,3
13833, ade maireada dislike adichirikkunde plastic fans ayirikkum,4
3765,and i shall have him,1
631,a player may pass on any move,1
20974, ini aarkkum onnum parayaanillallooo remember the name: laleettan,4
1059,marsupials and monotremes also possess one,1
3631,to dinner phir kahaan,2
17269, last dialogue mass ... sila per serupala avangale adichukoanga .... thala da,3
5482, aaa dislike adicha poorimakkalude ammakku mohanlal anu adichu kodukkunnadu tonnunnu,4
3061, sema ultimate trailer . i m so so exited.,3
21478, i hope this will be the best thriller film superb trailer  oru rakshayumilla.... kidukaachi kidiloski item....  #katta waiting for #lucifer,4
18648, entammachiii... njaan mammoottykkaane kaanaan vendi maathramaanu ee trailer kandathu...,4
20804,four 243 he then bought the baxter buildingfantastic,1
1431,mersal 1.1 m likes sarkar 1.4 m likes bigil 2.3 m likes #thalapathy da,3
21796, karthi annaaaa vera level acting,3
14926, epo yaralaa trailer pathuttu erukinge like podunge,3
20259,bas girl friend dila do,2
22174, padam moonjiyathinu shesham ethra peru vannu?,4
4921,blanchard was awarded a substantial pension by louis xvi,1
19375,too bhee pareshaan ho gaya,2
19775,i am waitng fool you reply na kabase,2
1260,avan charddichu saare maala kittiyilla eni edikkano venda kutta uruttam''',4
4599,chafee takes fellowship at brown,1
8820, padam kandu.. ennittum veendum tralier kaanan thonunnu.....,4
21624,all models featured a new front grille,1
6027, karikkele lolattenem lalettenem  eshtamullavar like adi,4
15347, that climax dialogue...padippa mḁṯṯṳm namma kitta eduthukka mudiyadhu,3
6692,a totem pole rarely lasts over 100 years,1
13161,poli poli poli 🥰🥰🥰chende bgm wooow,4
16370,why are from where in india,2
10576, pazhanjan formula aanaloo .....  oru gramam,4
2112, triple strong aane makkale rajayum rajayude pillerum,4
8408, ettan fan adichu polikyeda like button,4
7333," yenda atlest oru laalaikku munnaiyaavadhu announce panradhu illa , trailer relaese panna porom nu",3
345,koee ladakee hee nahin h,2
2948,kya baat kara bhaee,2
5883, 701 likes thala fans 1 million likes varanum pangaaigala,3
19121,no motorized vehicles are permitted on the lakelands trail,1
19431,zurvan then sacrificed for a thousand years,1
3137,this decision led to the end of the duchy,1
21820,president rule kar dena chaahie,2
13816,his safe at the hotel was also opened,1
15405, ennalum ente idivettu suguna ninne ithilu kandillalo,4
11446,hollywood level item. ikkaaa,4
22722,wishwasich koode varunnavare geevan      kodutayalum samrakhikkum,4
8732,it has a local parliament of andalusia and president,1
7768, oruthavanga mêla viswasam kadurathukaka en inoruthara asinga paduthuringaaaaaaaa best ever dialogue thala,3
10020,tum muhh mein denge,2
20428,1:16 rangaraj pandey.. avar nadikkala. avaroda velaya padathula seiraru,3
20477,mera naam jitenra hai,2
15171,bahut aa jaayenge is name se to,2
7742,in many us states they are called public utility commissions,1
2190,lucifer inte munnil enthonn raaja.! ettan da...,4
2939,banzei was later revived as banzai after the meiji restoration,1
8041,by now the sub force was saying two more,1
15369, evidayokkayo oru aada movie touch thonniyathu enikku mathram aano,4
14363,district one to,1
21082, rajini + sankar + ar rahman = vera level.. intha combo kkaaga tharalaama paakalam,3
7442,south hetton constitutes a separate parish,1
2925, thala fans views konjam adigama ethunga social media trending thala fans mattum tha irukkanum views konjam ethunga,3
6222,i am only doing eating and sleeping and social life,2
8220,tension na lo chill scene hai,2
2490, wow  katta maas movie.... ....waiting,4
6040, thalaivaaa verithanam .........apdye chumma therikkavidra,3
5936,the hsv stands for high speed vessel,1
404,all tracks written by yeah yeah yeahs,1
3859, olaaaa   oooola  oooole,4
9147,gts are thus structure building rather than structure changing,1
9800,during the filming of the movie help,1
21989, 15 minutes.... 151 k viewrs...,4
8390,it formed drilling partnerships with several companies including freeport,1
15066,bhaee m ladakee nai hu,2
17739, 200 times ku mela pathavanga like here,3
2580,miss chesimard ill trial here delayed,1
11594, all tamilians look like africans lol,3
22581,thala ajith in ner konda  parvai  august 10 th i am    marana waiting,3
18742,see main article information technology governance,1
20656, njan laalettan fana pakshe i love this movie,4
1765, 131k   8k.    view 17k  🤔🤔🤔,4
21757,and after all that shit broadband ko bhee aaj hee band hona tha,2
18013, diwali ku sambavam unduu....#kaithi marana waiting,3
2463,external sovereignty concerns the relationship between a sovereign power and other states,1
1955,chal theek hai soni,2
20238,his mother was the persian people noblewoman goharshad,1
18140,north by northeast is a volunteer driven music festival,1
17760,the front of the mall was also remodeled,1
22739, pakathana pora intha kaalioda atatha... petta parak....,3
16488,the town has also been known as nether hoyland,1
19420,tera najayez baaap behenklaude,2
7715, nawazuddin ah enna da panni vachrukinga?,3
1988,number bata ke jaaye na,2
10365,kyon khada nahin hota kya,2
16152,babu understand khaana khana he baad me pakka babu aaj full night please,2
6996,whats u your name,2
662,thee to sahee na,2
2114,another campus was located in mississauga on chedworth way was opened in 1997 ,1
18788, madhura raja oru sadarana padam aaan #twist twist🥰,4
15898, suraj chetan kunjunni maashinte athe cut und.....valare nalla character chetaa,4
17009,kinnan oru rakshayum illa bgm kidu,4
4670,ham sab bahanon kee pet chalatee hai isee vyaapaar se,2
20604,in armed forces  society an interdisciplinary journal 26 p387,1
6028, 90's kids hit like!,3
11725,salleya bande da putt ban jaa too,2
15167,abhee jisapar chaat kar rahe hai vo,2
10923,four weddings and a funeral 1994 features the old hampstead town hall on haverstock hill,1
11127,60th anniversary ferrari 612 sessanta,1
3662,aise baat karoge ladakiyon se toh kaise chalega,2
5174,are uhh there,2
4774,kidu trailer,4
21037,cmmnt bx full like veendavar aanallo,4
520, namukku thevayanath naama thaan adichu vanganam,3
22218,tum jhooth bol rahi ho,2
12070," dai enada ithu thaarumara irukku, vetrimaran dhanush once again proved.",3
11688,and are you from kolkata only,2
16128, youtube nde kaat poyirikkugayaan.. 1 manikkoor aayi ithuvare youtube nde hang maariyittilla..🤣🤣,4
15338, atom bomb,4
18834,deivame ith 2 manikkooril nilkkooo.aarekooyaanithil.ho myaaarakam.lalettan kiiiiii.🤠,4
11249,pahale dhoodho to sahee,2
19415, gethu kaatraru pa vikram ji.... mersalayitan.....,3
9070,the city grew and prospered during the ancient roman period,1
22090,hm phir se mil gae,2
5378,oruthar mela viswasam katrathukaga innkruthara en asinga paduthureenga.. !!🤕🤕,3
18489,california state route 36 passes through fredonyer pass,1
22120, ellorum video ku like  pannunga....,3
6979, laleetanu ikka fansite  best of luck,4
8536, sweet sappttu vanthavanga mattum like pannunga,3
11749, raja raja raja madhura veera raja,4
20468,it was he who completed the walls and stone keep,1
8147,x band is often used in modern radars,1
1721,me too fine,2
2166, surajinte body transformation... ho... vere level nadan aakuvanello oro padam kazhiyumthorum..,4
39, ante mone,4
6550,come on daklash hondo,2
7475,edake edake views nikkan varunna njn matram ano,4
4984, we need in kannada as well..dubb in kannada too,3
11810, ennada bomma padam mathire irukku enna kandravi anim ithu,3
19490,jaisa aaj raat feel hua aisa koee karata oaya kya,2
4890,launda hi hun,2
2421, views 17k.. likes 100k .. itenda ingne?,4
6828, itrem nalum  kathu 6 manikkoor koode kakkam,4
15215, pangaligala vidama trailer paarunga free time la release kula 15m views 1 m likes varanum,3
17301,mugamoodiku moonu ticket irukku.. variya...,3
12701, character eakadesham same aaanallo vyshakh sir,4
22396,its is a fusion of rb rapping electropop and dance pop,1
11627, ena pa ipdi iruku vera level..,3
13915,bhaee de na introgaali deke bhaagio mat,2
3230, thala and yuvan bgm epa dae,3
7250, climax dialog.... verum satyam mathram. qurbana- pothirachi,4
5713, thala tha mass sollu luruka like pannuga...thala ya pakka wati panurukaga like it....,3
4381, pokkiraja pole full masa entertainment allann thonunnu..nallaru storyum ullath pole 🥰,4
12613,time kharaab chal raha hai mera,2
15103,pahale batao m kaun hoon,2
3043, aa thumb nail ile look nokkiyatte. oru adaar mass block ulla rangam aanen urappayi,4
8353,sallu bhaee ura dega tujhe,2
4011, vayasaana kaalathul ethuku unaku entha veala kilatu payale,3
5728,vitamin b12 deficiency report of a childhood case,1
10617,saket metro station se fifteen minute lagate hain,2
2350, trailer kidukki look at the likes,4
7140,apane baap ka naam kyon bata raha hai,2
10718,till then take care,2
22687, oruthar mela viswasam kaatrathukkaga innoruthara yen asinga paduthuringa,3
14482,271 dislike ara adichethennu ivide ellarkkumariyaam,4
8712,so you will not tell your name,2
19687,agar baat karanee hai aur toh,2
14194,hmm haa achchha kiya par thode log rahate achchhe vaale,2
13158,par itana saara dialogue nahin maarate,2
8878,numma or nummade or nammande palakkad le katha aanu,4
10110, bhagavane  ikka maranamass  bgm,4
19333, doll inte bgm ishtappettavar like adikk,4
7591,g sahee kaha aapane,2
20618, poliiiii oru rekshem illa katta waiting,4
10850, idhu telugu movie kalki yde remake anoo,4
10144,often 1934 australias activities,1
20810,but you didnt disclosed your identity mainne toh bata dee thee tumhe,2
21602, trailer kollarkium nu oru pratheeksha ondarinnu...pakshe ithu athukkum mele,4
11748, eth theatre allaam onn  kulukkum,4
14681, 65 k ലൈക്‌ 16 k view hangayi,4
5172,firing the weapon counts as one move,1
22393,gaunt a during woodsetts,1
6837,yaar ek to english bolane m feelings kee maan bahan ho jaatee h,2
21913,aisa kuchh nahin hai,2
11937,he learned extensively from al shafii,1
14448, ivan vera siripu ivanuku oru loosu followers vera,3
15061, video kandutheran samayam aayilla athinu munne malaranmar dislike adikan thudangi,4
18321, sathyam paranjaal trailer oru maja illaa,4
17288, ethippoo കൂതറയിലെ   mohanlalinte make over aayinda...,4
12390, innanu movie kandathu.....kidu nnu paranjal pora......kidilokkidilam,4
21303,not a movie not a novel,1
10827,psycho movie aanenu thooniyavar like adi,4
21484, ufffff..ejaadhiii..lalettann rdjile edjelum oruu svene e jenmam vheyaan patilaa..trailer kandd karayunundaabumm ettan and ettan fanss,4
9266,are you from kerala,2
12812,voh kisee bhee college se zyaada hee seekhega,2
14300,̷̿̿ i am waiting sk  anna...,3
5104, mass romba maranam iruku. vera level mass .,3
1892,well all except that silly one,1
21466,kahaan se ho bhaee,2
12698, dei dislikers vayiru erinji saavunga da,3
3791, maranam massu maranam toughu tharanum adhukku avan thaan porandhu varanum = rajini   lhs = rhs  hence proved.,3
21976, film kandathin sheshavum trailer veendum veendum kanunnu ..hangover,4
8308,meendum family yoda paka koodiya oru nalla padam,3
17237, tomorrow fdfs yar yar poringaa ?,3
13832, with in one minute la pathavanga like panuga,3
8447, marana waiting for dhanush anna asuran,3
8930, ajith thalathala nu irukaru nalla gummunu,3
8606,yahi toh dikkat hee,2
6460,india mein kaha se,2
4848,ee padathine nammal vijaya gara maakkanam....,4
1564,ham to had hain,2
8022,so why is this the only hit,1
11540,marvel mathiri copy adichurkingale da 0.33,3
6866, trailer kaduppam odiyan pole akathirunnal mathiyayirunnu,4
9703,092 of the population were hispanic or latino of any race,1
20068, yuvan shankar raja  love  yuvan vijay,3
9540,later the crimean tatars founded the town of aqmescit,1
11497, namude swantham mammookkayk lalettan fansinte vaka asamsakal..mamangam nalloru thirich varav sammanikatte.. trailer kidukiyitund,4
5710,these were known as fluoroscopes,1
6756,plotz was furious about that cartoon,1
13355, hindi rajni fans hit like,3
9902,ringo replied with no weve already got a drummer,1
3411,the second anglo afghan war began a year later,1
19930, waiting for kalyani priyadharsan's kollywood entry  :),3
13934, maamangam trailer kanditt vannavar like adi,4
14881,raju ettante innathe new lucifer still kanditt,4
13748,mein sarakaaree mein padha hoya majnu mera naam gadha hoya vaala system hee apana,2
17023, ikka mwuthe happy birthday   lub u,4
9065, yeanda ivlo stylish aana role ku  punch dialogue kuduthu saavadippeenga,3
15580, excellent  ajith sir semma,3
13516,oh nahin de sakata,2
17582,engineering karake hi pata chal raha h itna talent h apane andar,2
20051,nahin nahin mein to main noida vaalee hoon,2
21579,munh mein chhiiiii,2
4928,chal pahale sikh ke aa bete abhee bacha hai too is khel mein,2
7567,several versions of the design exist differentiated by their shape,1
5414, sweet saapda porom scene la ironman feel varude pa.. yenakku mattum daana🤔,3
7829, thalivaaa....................marana mass .  ithu vera level,3
20599,they were france germany and great britain,1
13444,image of completed coronation theatre at bottom,1
5294,doggy ban kar tere oopar chadh kar,2
4618, thalaivaaaaaaaaa you are just rocking.  mind blowing trailer. vera level thalaiva.,3
9534,the municipal center is raufoss,1
5601, padam mass erukum thalapathy fans sarp wisas,3
4161,the median age was 44 years,1
1210,aha try kiya tha but achhi quality m nahin the,2
15251,peter harvey finds the tibetan attribution less plausiblepeter,1
19437,but strong bad is just awful,1
1964,oh flirting kee class lekar aaee ho kya,2
5356,approximately 1500 people in obwalden worked as mercenary soldiers,1
8301,not to other one same as your name,2
12247,all the best ikka.... oru ettan fan,4
3493,ntare v returned to burundi in april 1972soon,1
19053, njan ippol tanne 15 tavane kandu kazinju kanditttu kandittum madukunilla,4
4676,also latvian cycling athletes are famous in the world arena,1
15652,in 2004 paul e durr became the towns second mayor,1
21589, yendaaa ippdi kevalamaa kaase selav panreenga... nallaa oru movie edthiruklaame... ethooo mokka padam matiri irukk,3
3925,but tere saath majaak mastee karne bhee maza aata hai i really love you yaar,2
7345,mera identity document logee aur tum apana dogee,2
10294, thala awwsm n u1 bgm rocks,3
16329,he same here have an exm tomorrow dont want to study,2
17780, apdi ellam nadakaathu.nadakavum koodathu...mass thala...justice for victims,3
16314,mamookaa look... oru rakshayum ellaa...,4
15569,guba commands an army on the island base of kolgujev,1
2891, i love u thalaiva neenga eppavum mass nee va thalaivaaaaa,3
3604,a second explanation could come from old french where scorzon means snake,1
15978, aaa kochu edhaaa real fighter kannukalile theepori kidu,4
13859, mavena edhavadhu haters irundha odi poiru kola kandula irukkaen padam paakama vidamataen,3
4366,a springvale north post office was also open between 1946 and 1978,1
4578,by march 1298 he had emerged as guardian of scotland,1
1062,i am not a bhaee,2
15994,saalee kismat kharaab chalarahee h,2
21039,politicians caught in the rush to return donation,1
11027, love love u thala.. oruthavga vachu visavathuka ye aduthavagala asiga paduthuriga.. sema dialogue,3
5684,in 1952 the barenboim family moved to israel,1
19383, @1:40 enna harris bgm lam varudhu :) ?? therikkudhu yuvan bgm..,3
20828, ente ponno marana mass.. ethu polikum....,4
